state,district
Andaman and Nicobar Islands,North and Middle Andaman
Andaman and Nicobar Islands,South Andaman
Andhra Pradesh,Anantapuram
Andhra Pradesh,Sri Potti Sriramulu Nellore District
Andhra Pradesh,Vishakhapatnam
Andhra Pradesh,YSR District
Assam,Kamrup Metropolitan
Assam,Morigaon
Bihar,Kaimur
Bihar,Purvi Champaran
Chhattisgarh,Gariaband
Chhattisgarh,Kawardha
Chhattisgarh,Koriya
Dadra and Nagar Haveli,Dadra and Nagar Haveli
Daman and Diu,Daman
Daman and Diu,Diu
Delhi,Central Delhi
Delhi,East Delhi
Delhi,North Delhi
Delhi,North East Delhi
Delhi,North West Delhi
Delhi,South Delhi
Delhi,South East Delhi
Delhi,South West Delhi
Delhi,West Delhi
Gujarat,Ahmedabad
Gujarat,Aravalli
Gujarat,Banaskantha
Gujarat,Chhota Udaipur
Gujarat,Dahod
Gujarat,Devbhoomi Dwarka
Gujarat,Kutch
Gujarat,Mehsana
Gujarat,Panchmahal
Gujarat,Sabarkatha
Haryana,Gurgaon
Haryana,Mewat
Haryana,Sonepat
Haryana,Yamuna Nagar
Jharkhand,East Singhbhum
Jharkhand,Sahibganj
Jharkhand,Seraikela Kharsawan
Karnataka,Bagalkot
Karnataka,Bangalore Rural
Karnataka,Bangalore Urban
Karnataka,Bellary
Karnataka,Bijapur
Karnataka,Chamarajanagar
Karnataka,Chikballapur
Karnataka,Davanagere
Karnataka,Gulbarga
Karnataka,Shimoga
Karnataka,Tumkur
Kerala,Mahe
Lakshadweep,Lakshadweep
Madhya Pradesh,Agar
Madhya Pradesh,Hoshangabad
Madhya Pradesh,Khandwa
Maharashtra,Aurangabad district
Meghalaya,Ri-Bhoi
Odisha,Angul
Odisha,Balasore
Odisha,Jagatsinghpur
Odisha,Jajpur
Odisha,Subarnapur
Punjab,Sahibzada Ajit Singh Nagar
Punjab,Shaheed Bhagat Singh Nagar
Rajasthan,Chittaurgarh
Rajasthan,Dhaulpur
Rajasthan,Sri Ganganagar
Sikkim,East Sikkim
Sikkim,North Sikkim
Sikkim,South Sikkim
Sikkim,West Sikkim
Tamil Nadu,Kanyakumari
Tamil Nadu,Nilgiris
Tamil Nadu,Thoothukudi
Tamil Nadu,Tiruvallur
Tripura,Sipahijala
Uttar Pradesh,Badaun
Uttar Pradesh,Bagpat
Uttar Pradesh,Bulandshahar
Uttar Pradesh,Gautam Buddh Nagar
Uttar Pradesh,Kanshi Ram Nagar
Uttar Pradesh,Kushinagar
Uttar Pradesh,Lakhimpur Kheri
Uttar Pradesh,Sant Kabir Nagar
Uttar Pradesh,Sant Ravidas Nagar
Uttar Pradesh,Shrawasti
Uttar Pradesh,Siddharthnagar
Uttarakhand,Rudraprayag
Uttarakhand,Udham Singh Nagar
Uttarakhand,Uttarkashi
West Bengal,Bardhaman
West Bengal,Cooch Behar
West Bengal,Dakshin Dinajpur
West Bengal,Malda
West Bengal,North 24 Parganas
West Bengal,Purba Medinipur
West Bengal,South 24 Parganas
West Bengal,Uttar Dinajpur
West Bengal,West Medinipur
